Type,Invoice_Code,Invoice_Date,Brand_Name,Product_Code,Qty,Unit_Price,Price_Before_Discount,Price_After_Discount,Cost,GP,GP_Before_Disc,Currency
CN,159296,2018-07-03,Intermec Technologies Corp.,YJHF600-1-2USB,-50,2548.00,-127400.00,-127400.00,-104753.31,-22646.69,-22646.69,Thai Baht
CN,159307,2018-07-04,EMC,456-107-848,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,M-PSM-SW-VP-015,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,458-001-440,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,456-107-803,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,M-PSM-SW-D3-001,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,458-001-374,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,M-PSM-SWE-004,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,458-001-425,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,456-109-802,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,M-PSM-SWE-004,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,RP-LNX-GPL,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,PS-BAS-RPVMGL,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,458-000-228,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,456-106-720,-15,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,M-PSM-SW-D3-001,-1,0.00,0.00,0.00,0.00,0.00,0.00,Thai Baht
CN,159307,2018-07-04,EMC,D31D24AF25,-1,1560000.00,-1560000.00,-1560000.00,-1407684.28,-152315.72,-152315.72,Thai Baht
